displayLabel,canonicalName,specialty,subspecialty,bodySystem,organSystem,category,aliases,difficultyBand,rarityBand,clinicalSetting,ageGroup,urgencyLevel,isPlayable,isGeneratable,searchPriority,isDescriptive,isCompositional,notes
Asthma,Asthma,Pulmonology,,Respiratory,Airways,Obstructive,Bronchial asthma;Reactive airway disease,BASIC,COMMON,OUTPATIENT,ANY,URGENT,true,true,100,false,false,Common obstructive airway disease
Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Pulmonology,,Respiratory,Airways,Obstructive,COPD;Emphysema,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,95,false,false,Chronic obstructive airway disease
Pneumonia,Pneumonia,Infectious Disease,,Respiratory,Lung,Infectious,Lung infection;Community acquired pneumonia,BASIC,COMMON,COMMUNITY,ANY,URGENT,true,true,100,false,false,Common respiratory infection
Pulmonary Embolism,Pulmonary Embolism,Pulmonology,,Cardiovascular,Pulmonary Vasculature,Vascular,PE;Venous thromboembolism,ADVANCED,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,90,false,false,High acuity vascular diagnosis
Myocardial Infarction,Myocardial Infarction,Cardiology,Interventional Cardiology,Cardiovascular,Myocardium,Vascular,Heart attack;MI,INTERMEDIATE,COMMON,EMERGENCY,ADULT,EMERGENT,true,true,100,false,false,Canonical ACS diagnosis
Heart Failure,Heart Failure,Cardiology,Heart Failure,Cardiovascular,Myocardium,Hemodynamic,Congestive heart failure;CHF,INTERMEDIATE,COMMON,INPATIENT,ADULT,URGENT,true,true,95,false,false,Common cardiology syndrome
Atrial Fibrillation,Atrial Fibrillation,Cardiology,Electrophysiology,Cardiovascular,Atria,Arrhythmia,AFib;AF,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,85,false,false,Common arrhythmia
Aortic Dissection,Aortic Dissection,Cardiology,Vascular Medicine,Cardiovascular,Aorta,Vascular,Dissecting aortic aneurysm,ADVANCED,RARE,EMERGENCY,ADULT,EMERGENT,true,true,75,false,false,High acuity vascular emergency
Ischemic Stroke,Ischemic Stroke,Neurology,Vascular Neurology,Nervous System,Brain,Vascular,CVA;Cerebral infarction,INTERMEDIATE,COMMON,EMERGENCY,ADULT,EMERGENT,true,true,100,false,false,Common neurologic emergency
Subarachnoid Hemorrhage,Subarachnoid Hemorrhage,Neurology,Vascular Neurology,Nervous System,Brain,Vascular,SAH;Aneurysmal hemorrhage,ADVANCED,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,80,false,false,High acuity neurologic diagnosis
Migraine,Migraine,Neurology,Headache Medicine,Nervous System,Brain,Primary Headache,Migraine headache,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,90,false,false,Common outpatient neurology diagnosis
Multiple Sclerosis,Multiple Sclerosis,Neurology,Neuroimmunology,Nervous System,Central Nervous System,Autoimmune,MS;Demyelinating disease,ADVANCED,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Immune mediated demyelination
Parkinson Disease,Parkinson Disease,Neurology,Movement Disorders,Nervous System,Basal Ganglia,Neurodegenerative,Parkinsons disease;PD,INTERMEDIATE,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,80,false,false,Movement disorder diagnosis
Meningitis,Meningitis,Infectious Disease,Neuroinfectious Disease,Nervous System,Meninges,Infectious,Acute meningitis,INTERMEDIATE,UNCOMMON,EMERGENCY,ANY,EMERGENT,true,true,85,false,false,Infection involving meninges
Diabetic Ketoacidosis,Diabetic Ketoacidosis,Endocrinology,Diabetes,Endocrine,Pancreas,Metabolic,DKA,INTERMEDIATE,COMMON,EMERGENCY,ANY,EMERGENT,true,true,95,false,false,Acute metabolic complication of diabetes
Hypothyroidism,Hypothyroidism,Endocrinology,Thyroid,Endocrine,Thyroid,Endocrine,Underactive thyroid,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,90,false,false,Common thyroid disorder
Hyperthyroidism,Hyperthyroidism,Endocrinology,Thyroid,Endocrine,Thyroid,Endocrine,Thyrotoxicosis,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,85,false,false,Thyroid hormone excess
Addison Disease,Addison Disease,Endocrinology,Adrenal,Endocrine,Adrenal Gland,Endocrine,Primary adrenal insufficiency,ADVANCED,RARE,EMERGENCY,ADULT,URGENT,true,true,60,false,false,Adrenal insufficiency diagnosis
Acute Kidney Injury,Acute Kidney Injury,Nephrology,,Genitourinary,Kidney,Renal,AKI;Acute renal failure,INTERMEDIATE,COMMON,INPATIENT,ADULT,URGENT,true,true,95,false,false,Common renal syndrome
Nephrotic Syndrome,Nephrotic Syndrome,Nephrology,Glomerular Disease,Genitourinary,Kidney,Renal,Proteinuric kidney disease,INTERMEDIATE,UNCOMMON,OUTPATIENT,ANY,ROUTINE,true,true,75,false,false,Glomerular protein loss syndrome
Pyelonephritis,Pyelonephritis,Infectious Disease,,Genitourinary,Kidney,Infectious,Kidney infection,INTERMEDIATE,COMMON,COMMUNITY,ANY,URGENT,true,true,85,false,false,Upper urinary tract infection
Appendicitis,Appendicitis,General Surgery,,Gastrointestinal,Appendix,Inflammatory,Acute appendicitis,BASIC,COMMON,EMERGENCY,ANY,URGENT,true,true,95,false,false,Common surgical abdomen diagnosis
Cholecystitis,Cholecystitis,General Surgery,Hepatobiliary,Gastrointestinal,Gallbladder,Inflammatory,Acute cholecystitis,INTERMEDIATE,COMMON,EMERGENCY,ADULT,URGENT,true,true,85,false,false,Gallbladder inflammation
Pancreatitis,Pancreatitis,Gastroenterology,Pancreatobiliary,Gastrointestinal,Pancreas,Inflammatory,Acute pancreatitis,INTERMEDIATE,COMMON,EMERGENCY,ADULT,URGENT,true,true,90,false,false,Inflammatory pancreatic diagnosis
Cirrhosis,Cirrhosis,Gastroenterology,Hepatology,Gastrointestinal,Liver,Fibrotic,Liver cirrhosis,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Chronic liver fibrosis
Inflammatory Bowel Disease,Inflammatory Bowel Disease,Gastroenterology,,Gastrointestinal,Intestine,Autoimmune,IBD;Crohn disease;Ulcerative colitis,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,true,false,Umbrella row for inflammatory bowel disorders
Sepsis,Sepsis,Critical Care,,Immune System,Systemic,Infectious,Bloodstream infection;Septic shock,INTERMEDIATE,COMMON,ICU,ANY,EMERGENT,true,true,100,false,false,Systemic life threatening infection
Anaphylaxis,Anaphylaxis,Allergy and Immunology,,Immune System,Systemic,Allergic,Anaphylactic reaction,BASIC,UNCOMMON,EMERGENCY,ANY,EMERGENT,true,true,85,false,false,Acute allergic emergency
Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatology,Inflammatory Arthritis,Musculoskeletal,Joints,Autoimmune,RA,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,85,false,false,Systemic inflammatory arthritis
Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Rheumatology,Systemic Autoimmune Disease,Immune System,Systemic,Autoimmune,SLE;Lupus,ADVANCED,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Multisystem autoimmune disease
Gout,Gout,Rheumatology,Crystal Arthropathy,Musculoskeletal,Joints,Metabolic,Gouty arthritis,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Crystal arthropathy
Osteoarthritis,Osteoarthritis,Rheumatology,Degenerative Joint Disease,Musculoskeletal,Joints,Degenerative,Degenerative joint disease;OA,BASIC,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,80,false,false,Common degenerative arthritis
Iron Deficiency Anemia,Iron Deficiency Anemia,Hematology,,Hematologic,Blood,Nutritional,IDA;Microcytic anemia,BASIC,COMMON,OUTPATIENT,ANY,ROUTINE,true,true,90,false,false,Common anemia diagnosis
Sickle Cell Disease,Sickle Cell Disease,Hematology,Hemoglobinopathy,Hematologic,Red Blood Cells,Genetic,SCD;Sickle cell anemia,INTERMEDIATE,UNCOMMON,EMERGENCY,ANY,URGENT,true,true,80,false,false,Hemoglobinopathy with vaso occlusion
Deep Vein Thrombosis,Deep Vein Thrombosis,Hematology,Thrombosis,Cardiovascular,Veins,Vascular,DVT,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,85,false,false,Venous thrombosis diagnosis
Leukemia,Leukemia,Hematology,Malignant Hematology,Hematologic,Bone Marrow,Neoplastic,Acute leukemia,ADVANCED,UNCOMMON,INPATIENT,ANY,URGENT,true,true,70,true,false,General malignant hematology row
Breast Cancer,Breast Cancer,Oncology,Breast Oncology,Reproductive,Breast,Neoplastic,Breast carcinoma,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Common solid tumor diagnosis
Colon Cancer,Colon Cancer,Oncology,Gastrointestinal Oncology,Gastrointestinal,Colon,Neoplastic,Colorectal cancer;Colon carcinoma,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Common gastrointestinal malignancy
Prostate Cancer,Prostate Cancer,Oncology,Urologic Oncology,Genitourinary,Prostate,Neoplastic,Prostate adenocarcinoma,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,false,false,Common urologic malignancy
Major Depressive Disorder,Major Depressive Disorder,Psychiatry,Mood Disorders,Psychiatric,Brain,Mood Disorder,MDD;Depression,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,90,false,false,Common mood disorder
Bipolar Disorder,Bipolar Disorder,Psychiatry,Mood Disorders,Psychiatric,Brain,Mood Disorder,Bipolar affective disorder,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,80,false,false,Mood disorder with manic episodes
Schizophrenia,Schizophrenia,Psychiatry,Psychotic Disorders,Psychiatric,Brain,Psychotic Disorder,Primary psychotic disorder,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Chronic psychotic disorder
Generalized Anxiety Disorder,Generalized Anxiety Disorder,Psychiatry,Anxiety Disorders,Psychiatric,Brain,Anxiety Disorder,GAD,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,85,false,false,Common anxiety disorder
Ectopic Pregnancy,Ectopic Pregnancy,Obstetrics and Gynecology,Early Pregnancy,Reproductive,Fallopian Tube,Obstetric,Tubal pregnancy,INTERMEDIATE,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,85,false,false,Early pregnancy emergency
Preeclampsia,Preeclampsia,Obstetrics and Gynecology,Obstetrics,Reproductive,Placenta,Hypertensive Disorder,Pre-eclampsia,INTERMEDIATE,COMMON,INPATIENT,ADULT,URGENT,true,true,85,false,false,Pregnancy hypertensive disorder
Pelvic Inflammatory Disease,Pelvic Inflammatory Disease,Obstetrics and Gynecology,Gynecology,Reproductive,Pelvis,Infectious,PID,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,80,false,false,Upper genital tract infection
Otitis Media,Otitis Media,Pediatrics,Infectious Disease,Head and Neck,Middle Ear,Infectious,Acute otitis media;AOM,BASIC,COMMON,OUTPATIENT,PEDIATRIC,ROUTINE,true,true,85,false,false,Common pediatric infection
Bronchiolitis,Bronchiolitis,Pediatrics,Pulmonology,Respiratory,Bronchioles,Infectious,RSV bronchiolitis,BASIC,COMMON,COMMUNITY,PEDIATRIC,URGENT,true,true,85,false,false,Common infant respiratory illness
Kawasaki Disease,Kawasaki Disease,Pediatrics,Rheumatology,Cardiovascular,Blood Vessels,Inflammatory,Mucocutaneous lymph node syndrome,ADVANCED,RARE,INPATIENT,PEDIATRIC,URGENT,true,true,65,false,false,Pediatric vasculitis
Cellulitis,Cellulitis,Infectious Disease,Dermatology,Integumentary,Skin,Infectious,Skin infection,BASIC,COMMON,OUTPATIENT,ANY,URGENT,true,true,85,false,false,Common soft tissue infection
Psoriasis,Psoriasis,Dermatology,Inflammatory Dermatoses,Integumentary,Skin,Autoimmune,Plaque psoriasis,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,false,false,Chronic inflammatory skin disease
Melanoma,Melanoma,Dermatology,Dermatologic Oncology,Integumentary,Skin,Neoplastic,Malignant melanoma,INTERMEDIATE,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,70,false,false,High risk skin malignancy
Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease,Gastroenterology,Esophageal Disorders,Gastrointestinal,Esophagus,Functional,GERD;Acid reflux,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,85,false,false,Common esophageal reflux disorder
Peptic Ulcer Disease,Peptic Ulcer Disease,Gastroenterology,Upper GI Disorders,Gastrointestinal,Stomach,Inflammatory,PUD;Gastric ulcer;Duodenal ulcer,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Acid mediated ulcer disease
Celiac Disease,Celiac Disease,Gastroenterology,Malabsorption,Gastrointestinal,Small Intestine,Autoimmune,Gluten sensitive enteropathy,INTERMEDIATE,UNCOMMON,OUTPATIENT,ANY,ROUTINE,true,true,70,false,false,Autoimmune gluten sensitivity
Diverticulitis,Diverticulitis,Gastroenterology,Colonic Disorders,Gastrointestinal,Colon,Inflammatory,Acute diverticulitis,INTERMEDIATE,COMMON,EMERGENCY,ADULT,URGENT,true,true,80,false,false,Inflammation of colonic diverticula
Small Bowel Obstruction,Small Bowel Obstruction,General Surgery,Abdominal Surgery,Gastrointestinal,Small Intestine,Mechanical,SBO;Bowel obstruction,INTERMEDIATE,COMMON,EMERGENCY,ADULT,URGENT,true,true,80,false,false,Mechanical intestinal obstruction
Upper Gastrointestinal Bleeding,Upper Gastrointestinal Bleeding,Gastroenterology,GI Bleeding,Gastrointestinal,Stomach,Vascular,UGIB;Upper GI bleed,INTERMEDIATE,COMMON,EMERGENCY,ADULT,URGENT,true,true,75,false,false,Upper digestive tract bleeding syndrome
Viral Hepatitis,Viral Hepatitis,Infectious Disease,Hepatology,Gastrointestinal,Liver,Infectious,Hepatitis,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,true,false,Infectious liver inflammation row
Cholelithiasis,Cholelithiasis,General Surgery,Hepatobiliary,Gastrointestinal,Gallbladder,Mechanical,Gallstones,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,false,false,Gallstone disease
Urinary Tract Infection,Urinary Tract Infection,Infectious Disease,Urology,Genitourinary,Bladder,Infectious,UTI;Cystitis,BASIC,COMMON,OUTPATIENT,ANY,ROUTINE,true,true,95,false,false,Common lower urinary tract infection
Nephrolithiasis,Nephrolithiasis,Urology,Stone Disease,Genitourinary,Kidney,Mechanical,Kidney stone;Ureterolithiasis,INTERMEDIATE,COMMON,EMERGENCY,ADULT,URGENT,true,true,80,false,false,Urinary stone disease
Benign Prostatic Hyperplasia,Benign Prostatic Hyperplasia,Urology,Prostate Disorders,Genitourinary,Prostate,Hyperplastic,BPH,INTERMEDIATE,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,75,false,false,Common benign prostate enlargement
Testicular Torsion,Testicular Torsion,Urology,Genital Emergencies,Genitourinary,Testis,Vascular,Torsion of testis,INTERMEDIATE,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,80,false,false,Urologic surgical emergency
Ovarian Torsion,Ovarian Torsion,Obstetrics and Gynecology,Gynecologic Emergencies,Reproductive,Ovary,Vascular,Adnexal torsion,INTERMEDIATE,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,80,false,false,Gynecologic surgical emergency
Endometriosis,Endometriosis,Obstetrics and Gynecology,Gynecology,Reproductive,Pelvis,Inflammatory,Endometrial implants,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,70,false,false,Chronic gynecologic pain disorder
Polycystic Ovary Syndrome,Polycystic Ovary Syndrome,Endocrinology,Reproductive Endocrinology,Endocrine,Ovary,Endocrine,PCOS,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,false,false,Common hyperandrogenic endocrine disorder
Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus,Endocrinology,Diabetes,Endocrine,Pancreas,Autoimmune,T1DM;Type 1 diabetes,BASIC,COMMON,OUTPATIENT,ANY,ROUTINE,true,true,85,false,false,Autoimmune insulin deficiency
Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,Endocrinology,Diabetes,Endocrine,Pancreas,Metabolic,T2DM;Type 2 diabetes,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,95,false,false,Common insulin resistance disorder
Hyperosmolar Hyperglycemic State,Hyperosmolar Hyperglycemic State,Endocrinology,Diabetes,Endocrine,Pancreas,Metabolic,HHS,ADVANCED,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,70,false,false,Severe hyperglycemic emergency
Syndrome of Inappropriate Antidiuretic Hormone,Syndrome of Inappropriate Antidiuretic Hormone,Endocrinology,Electrolyte Disorders,Endocrine,Pituitary,Metabolic,SIADH,ADVANCED,UNCOMMON,INPATIENT,ADULT,URGENT,true,true,65,false,false,Hyponatremia syndrome
Cushing Syndrome,Cushing Syndrome,Endocrinology,Adrenal,Endocrine,Adrenal Gland,Endocrine,Hypercortisolism,ADVANCED,RARE,OUTPATIENT,ADULT,ROUTINE,true,true,65,false,false,Glucocorticoid excess syndrome
Acromegaly,Acromegaly,Endocrinology,Pituitary,Endocrine,Pituitary,Endocrine,Growth hormone excess,ADVANCED,RARE,OUTPATIENT,ADULT,ROUTINE,true,true,60,false,false,Adult growth hormone excess
Primary Hyperparathyroidism,Primary Hyperparathyroidism,Endocrinology,Calcium Disorders,Endocrine,Parathyroid,Endocrine,Hyperparathyroidism,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,70,false,false,Parathyroid hormone excess
Osteoporosis,Osteoporosis,Endocrinology,Bone Metabolism,Musculoskeletal,Bone,Metabolic,Low bone density,BASIC,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,80,false,false,Common metabolic bone disease
Septic Arthritis,Septic Arthritis,Infectious Disease,Musculoskeletal Infection,Musculoskeletal,Joints,Infectious,Infectious arthritis,INTERMEDIATE,UNCOMMON,EMERGENCY,ANY,URGENT,true,true,75,false,false,Joint infection
Osteomyelitis,Osteomyelitis,Infectious Disease,Musculoskeletal Infection,Musculoskeletal,Bone,Infectious,Bone infection,INTERMEDIATE,UNCOMMON,INPATIENT,ANY,URGENT,true,true,75,false,false,Bone infection
Compartment Syndrome,Compartment Syndrome,Orthopedics,Trauma,Musculoskeletal,Extremity,Vascular,Acute compartment syndrome,ADVANCED,RARE,EMERGENCY,ADULT,EMERGENT,true,true,70,false,false,Limb threatening pressure syndrome
Hip Fracture,Hip Fracture,Orthopedics,Trauma,Musculoskeletal,Hip,Traumatic,Femoral neck fracture;Intertrochanteric fracture,BASIC,COMMON,EMERGENCY,GERIATRIC,URGENT,true,true,75,false,false,Common geriatric traumatic injury
Vitamin B12 Deficiency,Vitamin B12 Deficiency,Hematology,Nutritional Anemia,Hematologic,Red Blood Cells,Nutritional,Cobalamin deficiency;Megaloblastic anemia,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,75,false,false,Nutritional macrocytic anemia
Aplastic Anemia,Aplastic Anemia,Hematology,Bone Marrow Failure,Hematologic,Bone Marrow,Hematologic,Bone marrow failure,ADVANCED,RARE,INPATIENT,ANY,URGENT,true,true,60,false,false,Marrow failure syndrome
Immune Thrombocytopenia,Immune Thrombocytopenia,Hematology,Platelet Disorders,Hematologic,Platelets,Autoimmune,ITP;Immune thrombocytopenic purpura,INTERMEDIATE,UNCOMMON,OUTPATIENT,ANY,ROUTINE,true,true,70,false,false,Autoimmune platelet destruction
Thrombotic Thrombocytopenic Purpura,Thrombotic Thrombocytopenic Purpura,Hematology,Microangiopathy,Hematologic,Microvasculature,Thrombotic,TTP,ADVANCED,RARE,EMERGENCY,ADULT,EMERGENT,true,true,65,false,false,Thrombotic microangiopathy emergency
Hodgkin Lymphoma,Hodgkin Lymphoma,Oncology,Hematologic Oncology,Hematologic,Lymph Nodes,Neoplastic,Hodgkin disease,INTERMEDIATE,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,65,false,false,Lymphoid malignancy
Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,Oncology,Hematologic Oncology,Hematologic,Lymph Nodes,Neoplastic,NHL,INTERMEDIATE,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,65,false,false,Lymphoid malignancy group
Multiple Myeloma,Multiple Myeloma,Oncology,Hematologic Oncology,Hematologic,Bone Marrow,Neoplastic,Plasma cell myeloma,ADVANCED,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,65,false,false,Plasma cell malignancy
Tuberculosis,Tuberculosis,Infectious Disease,Mycobacterial Disease,Respiratory,Lung,Infectious,TB;Mycobacterium tuberculosis,INTERMEDIATE,COMMON,OUTPATIENT,ANY,ROUTINE,true,true,80,false,false,Mycobacterial infectious disease
Human Immunodeficiency Virus Infection,Human Immunodeficiency Virus Infection,Infectious Disease,Retroviral Disease,Immune System,Systemic,Infectious,HIV;AIDS,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,85,false,false,Chronic retroviral infection
Infective Endocarditis,Infective Endocarditis,Infectious Disease,Cardiac Infection,Cardiovascular,Heart Valves,Infectious,Endocarditis,ADVANCED,UNCOMMON,INPATIENT,ADULT,URGENT,true,true,75,false,false,Infection of endocardial surface
Influenza,Influenza,Infectious Disease,Respiratory Infection,Respiratory,Airways,Infectious,Flu,BASIC,COMMON,COMMUNITY,ANY,ROUTINE,true,true,85,false,false,Seasonal respiratory viral illness
COVID-19,COVID-19,Infectious Disease,Respiratory Infection,Respiratory,Lung,Infectious,SARS-CoV-2 infection;Coronavirus disease,INTERMEDIATE,COMMON,COMMUNITY,ANY,URGENT,true,true,80,false,false,Coronavirus respiratory illness
Lyme Disease,Lyme Disease,Infectious Disease,Vector Borne Disease,Immune System,Systemic,Infectious,Borrelia burgdorferi infection,INTERMEDIATE,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,65,false,false,Tick borne infectious disease
Malaria,Malaria,Infectious Disease,Parasitic Disease,Hematologic,Red Blood Cells,Infectious,Plasmodium infection,INTERMEDIATE,COMMON,EMERGENCY,ANY,URGENT,true,true,65,false,false,Parasitic febrile illness
Delirium,Delirium,Psychiatry,Neurocognitive Disorders,Nervous System,Brain,Neurocognitive,Acute confusional state,INTERMEDIATE,COMMON,INPATIENT,GERIATRIC,URGENT,true,true,75,false,false,Acute fluctuating inattention syndrome
Dementia,Dementia,Neurology,Behavioral Neurology,Nervous System,Brain,Neurodegenerative,Major neurocognitive disorder,INTERMEDIATE,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,75,true,false,Cognitive decline syndrome row
Alzheimer Disease,Alzheimer Disease,Neurology,Behavioral Neurology,Nervous System,Brain,Neurodegenerative,Alzheimers disease,INTERMEDIATE,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,75,false,false,Common neurodegenerative dementia
Epilepsy,Epilepsy,Neurology,Epileptology,Nervous System,Brain,Neurologic,Seizure disorder,INTERMEDIATE,COMMON,OUTPATIENT,ANY,ROUTINE,true,true,75,false,false,Recurrent unprovoked seizure disorder
Guillain-Barre Syndrome,Guillain-Barre Syndrome,Neurology,Neuromuscular,Nervous System,Peripheral Nerve,Autoimmune,GBS;Acute inflammatory demyelinating polyneuropathy,ADVANCED,RARE,INPATIENT,ADULT,URGENT,true,true,65,false,false,Acute immune neuropathy
Myasthenia Gravis,Myasthenia Gravis,Neurology,Neuromuscular,Nervous System,Neuromuscular Junction,Autoimmune,MG,ADVANCED,UNCOMMON,OUTPATIENT,ADULT,URGENT,true,true,65,false,false,Neuromuscular junction disease
Bell Palsy,Bell Palsy,Neurology,Cranial Neuropathy,Nervous System,Facial Nerve,Neurologic,Facial nerve palsy,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,70,false,false,Peripheral facial nerve palsy
